Aduana,Patente,Pedimento,Fecha de pago
240,3135,1046628,13/10/2011
240,3135,1047913,21/10/2011
240,3135,1048389,21/10/2011
240,3135,1049989,01/11/2011
240,3135,1052644,10/11/2011
240,3135,1052052,14/11/2011
240,3135,1053921,18/11/2011
240,3135,1054107,18/11/2011
240,3135,1054605,23/11/2011
240,3135,1055622,30/11/2011
240,3135,1055817,30/11/2011
240,3135,1055839,30/11/2011
240,3135,1056134,02/12/2011
240,3135,1056675,06/12/2011
240,3135,1056917,08/12/2011
240,3135,1057269,08/12/2011
240,3135,1058650,16/12/2011
240,3135,1058655,16/12/2011
240,3135,1059171,20/12/2011
240,3135,1060474,30/12/2011
240,3135,1060521,30/12/2011
240,3135,1060529,30/12/2011
470,3136,2000222,06/01/2012
470,3136,2000278,10/01/2012
240,3135,2001172,12/01/2012
240,3135,2001977,12/01/2012
240,3135,2002311,12/01/2012
240,3135,2002750,12/01/2012
240,3135,2002769,12/01/2012
240,3135,2004028,20/01/2012
240,3135,2004163,20/01/2012
240,3135,2004628,27/01/2012
240,3135,2005073,27/01/2012
470,3136,2000666,31/01/2012
470,3136,2000697,31/01/2012
240,3135,2005682,01/02/2012
240,3135,2006090,03/02/2012
240,3135,2008129,17/02/2012
240,3135,2008280,17/02/2012
240,3135,2014483,26/03/2012
240,3135,2010031,27/03/2012
240,3135,2013215,27/03/2012
240,3135,2013389,27/03/2012
240,3135,2013392,27/03/2012
240,3135,2013718,27/03/2012
240,3135,2014667,27/03/2012
240,3135,2014959,27/03/2012
240,3135,2014999,27/03/2012
240,3135,2015060,27/03/2012
470,3136,2001972,29/03/2012
470,3136,2002321,29/03/2012
240,3135,2015005,30/03/2012
240,3135,2015278,30/03/2012
240,3135,2015458,30/03/2012
240,3135,2015582,30/03/2012
240,3135,2015629,30/03/2012
240,3135,2015841,30/03/2012
240,3135,2015906,04/04/2012
240,3135,2016087,04/04/2012
240,3135,2017161,10/04/2012
470,3136,2002732,12/04/2012
240,3135,2017928,13/04/2012
240,3135,2017981,13/04/2012
240,3135,2017457,16/04/2012
240,3135,2018313,16/04/2012
240,3135,2018565,18/04/2012
240,3135,2018566,18/04/2012
240,3135,2018843,20/04/2012
240,3135,2019020,20/04/2012
240,3135,2019130,23/04/2012
240,3135,2019131,23/04/2012
240,3135,2019132,23/04/2012
470,3136,2003016,23/04/2012
470,3136,2003089,26/04/2012
240,3135,2020017,27/04/2012
240,3135,2024150,24/05/2012
240,3135,2024153,24/05/2012
240,3135,2024778,31/05/2012
470,3136,2004218,06/06/2012
240,3135,2027061,14/06/2012
240,3135,2028370,21/06/2012
470,3136,2004667,21/06/2012
240,3135,2036469,16/08/2012
240,3135,2036993,21/08/2012
470,3136,2006611,23/08/2012
240,3135,2038206,04/09/2012
240,3663,2004766,14/09/2012
470,3136,2007866,27/09/2012
240,3663,2006781,02/10/2012
240,3663,2007932,05/10/2012
470,3136,2008359,08/10/2012
240,3663,2008752,16/10/2012
240,3663,2008892,16/10/2012
470,3136,2008736,17/10/2012
240,1634,2002066,29/10/2012
240,1634,2002292,29/10/2012
240,3009,2029206,30/10/2012
240,1634,2002875,01/11/2012
240,1634,2002877,01/11/2012
240,1634,2003307,07/11/2012
240,1634,2003392,07/11/2012
470,3616,2008412,13/11/2012
240,1634,2003957,15/11/2012
240,3009,2030473,20/11/2012
240,1634,2004678,21/11/2012
240,3009,2030704,26/11/2012
470,3616,2008907,26/11/2012
240,1634,2005304,29/11/2012
240,1634,2005525,29/11/2012
240,3009,2030749,29/11/2012
240,3009,2031061,29/11/2012
240,3009,2031398,04/12/2012
240,3009,2031861,11/12/2012
240,3009,2032039,13/12/2012
240,3009,2032446,18/12/2012
470,3616,2010082,18/12/2012
240,3009,2032613,20/12/2012
240,1634,2008820,26/12/2012
240,3009,2032824,26/12/2012
240,3009,3001143,17/01/2013
240,3009,3001538,23/01/2013
240,3009,3001675,24/01/2013
470,3616,3000791,29/01/2013
240,3009,3002572,08/02/2013
240,3009,3002573,08/02/2013
240,3009,3002731,11/02/2013
240,3009,3002975,14/02/2013
240,3009,3002977,14/02/2013
240,3009,3006166,19/02/2013
240,3009,3006407,22/02/2013
240,3009,3006408,22/02/2013
240,3009,3006504,25/02/2013
240,3009,3006624,26/02/2013
240,3009,3007163,06/03/2013
240,3009,3007165,06/03/2013
240,3009,3007189,06/03/2013
470,3354,3001361,07/03/2013
470,3354,3001374,07/03/2013
470,3354,3001375,07/03/2013
240,3009,3008090,22/03/2013
240,3009,3008551,02/04/2013
240,3009,3008588,02/04/2013
240,3009,3008985,09/04/2013
470,3136,3003298,09/04/2013
240,3009,3009361,13/04/2013
240,3009,3009450,15/04/2013
470,3136,3003770,19/04/2013
240,3009,3009451,23/04/2013
240,3009,3009859,23/04/2013
240,3009,3009929,24/04/2013
240,3009,3009930,24/04/2013
240,3009,3010169,29/04/2013
240,3009,3010247,01/05/2013
240,3009,3010293,01/05/2013
240,3009,3010653,07/05/2013
240,3009,3011008,14/05/2013
240,3009,3011234,17/05/2013
470,3136,3004773,20/05/2013
470,3136,3004808,20/05/2013
240,3009,3011382,21/05/2013
240,3009,3011864,31/05/2013
240,3009,3012156,06/06/2013
240,3009,3012338,07/06/2013
240,3009,3012413,10/06/2013
240,3009,3012423,10/06/2013
470,3136,3005763,10/06/2013
240,3009,3012686,14/06/2013
240,3009,3012692,14/06/2013
240,3009,3013148,24/06/2013
240,3009,3013211,25/06/2013
240,3009,3013307,26/06/2013
240,3009,3013560,02/07/2013
240,3009,3013860,09/07/2013
240,3009,3014020,11/07/2013
470,3136,3006913,12/07/2013
470,3136,3007021,12/07/2013
240,3009,3014214,16/07/2013
240,3009,3014357,18/07/2013
240,3009,3014462,23/07/2013
240,3009,3014613,24/07/2013
470,3136,3007407,24/07/2013
240,3009,3014961,31/07/2013
470,3136,3007980,09/08/2013
240,3009,3020789,15/08/2013
240,3009,3020871,16/08/2013
240,3009,3020979,20/08/2013
240,3009,3021027,20/08/2013
240,3009,3021032,20/08/2013
240,3009,3021386,27/08/2013
240,3009,3021678,03/09/2013
240,3009,3021822,06/09/2013
240,3009,3021824,06/09/2013
240,3009,3022115,12/09/2013
240,3009,3022310,18/09/2013
640,3066,3002257,18/09/2013
240,3009,3022519,20/09/2013
240,3009,3023022,01/10/2013
240,3009,3023164,03/10/2013
240,3009,3023251,04/10/2013
240,3009,3023709,14/10/2013
240,3323,3000790,15/10/2013
240,3323,3000791,15/10/2013
470,3136,3009728,17/10/2013
470,3136,3009961,17/10/2013
240,3009,3024017,18/10/2013
240,3009,3024209,22/10/2013
240,3009,3024414,25/10/2013
240,3009,3024739,31/10/2013
470,3136,3010202,31/10/2013
240,3009,3024961,05/11/2013
240,3009,3025207,08/11/2013
470,3136,3010710,13/11/2013
470,3136,3010728,13/11/2013
240,3009,3025566,14/11/2013
240,3323,3000914,14/11/2013
240,3323,3000930,14/11/2013
240,3009,3025954,21/11/2013
470,3136,3010446,26/11/2013
470,3136,3011165,26/11/2013
240,3323,3000982,10/12/2013
240,3009,3026974,11/12/2013
240,3009,3027213,17/12/2013
240,3009,3027229,17/12/2013
240,3009,3027743,27/12/2013
470,3136,3011986,27/12/2013
470,3136,3012096,27/12/2013
240,3323,4000006,04/01/2014
240,3323,4000021,10/01/2014
240,3323,4000024,10/01/2014
240,3009,4000661,13/01/2014
240,3009,4001080,20/01/2014
470,3136,4000489,20/01/2014
240,3009,4001315,22/01/2014
240,3323,4000049,22/01/2014
240,3323,4000050,22/01/2014
240,3323,4000057,22/01/2014
240,3323,4000067,29/01/2014
240,3323,4000074,31/01/2014
240,1618,4000432,06/02/2014
470,3136,4001117,11/02/2014
240,1618,4000718,13/02/2014
240,1618,4000768,26/02/2014
470,3136,4001601,26/02/2014
240,1618,4000930,06/03/2014
240,1618,4000934,07/03/2014
470,3136,4002039,13/03/2014
470,3136,4002047,13/03/2014
240,1618,4001256,26/03/2014
470,3136,4002612,28/03/2014
240,1618,4001308,01/04/2014
240,1618,4001369,07/04/2014
240,1618,4001360,10/04/2014
240,3009,4008945,11/04/2014
240,1618,4001397,14/04/2014
240,1618,4001699,25/04/2014
240,1618,4001784,02/05/2014
240,1618,4001860,06/05/2014
240,1618,4001891,13/05/2014
470,3136,4004128,14/05/2014
240,1618,4001916,20/05/2014
240,1618,4001930,23/05/2014
240,1618,4001959,28/05/2014
240,1618,4001972,29/05/2014
240,1618,4001988,04/06/2014
240,1618,4001995,04/06/2014
240,1618,4002354,04/06/2014
240,1618,4002355,04/06/2014
240,1618,4002376,10/06/2014
240,1618,4002386,12/06/2014
240,1618,4002509,16/06/2014
240,1618,4002522,27/06/2014
240,1618,4002923,02/07/2014
240,1618,4002926,07/07/2014
240,1618,4002946,21/07/2014
240,1618,4003434,01/08/2014
240,1618,4003426,06/08/2014
240,1618,4003445,07/08/2014
240,1618,4003608,14/08/2014
240,1618,4003638,25/08/2014
240,1618,4004001,29/08/2014
240,1618,4004175,24/09/2014
240,1618,4004178,03/10/2014
240,1618,4005158,30/10/2014
240,1618,4005184,07/11/2014
240,1618,4005626,21/11/2014
240,1618,4005766,02/12/2014
240,1618,4006081,17/12/2014
240,1618,4006089,18/12/2014
470,3136,4011087,24/12/2014
240,1618,5000178,15/01/2015
240,1618,5000674,26/01/2015
240,1618,5000695,30/01/2015
240,1618,5000727,16/02/2015
240,1618,5000721,24/02/2015
240,1618,5001452,03/03/2015
240,1618,5001809,19/03/2015
240,1618,5001821,24/03/2015
240,1618,5001837,30/03/2015
240,1618,5001851,01/04/2015
240,1618,5001863,07/04/2015
470,3136,5003565,13/04/2015
240,1618,5001872,17/04/2015
240,1618,5001889,20/04/2015
240,1618,5002401,20/04/2015
240,1618,5001900,24/04/2015
240,1618,5002507,28/04/2015
240,1618,5002511,30/04/2015
240,1618,5002523,07/05/2015
240,1618,5002537,11/05/2015
240,1618,5002544,14/05/2015
240,1618,5002547,15/05/2015
240,1618,5002548,18/05/2015
240,1618,5002549,18/05/2015
240,1618,5002560,22/05/2015
240,1618,5002577,29/05/2015
240,1618,5002586,02/06/2015
470,3136,5005694,04/06/2015
240,1618,5002596,05/06/2015
240,1618,5002595,08/06/2015
240,1618,5003315,08/06/2015
470,3136,5005820,09/06/2015
240,1618,5003412,11/06/2015
240,1618,5003413,11/06/2015
240,1618,5003433,22/06/2015
240,1618,5003436,24/06/2015
240,1618,5003453,24/06/2015
240,1618,5003469,01/07/2015
240,1618,5003472,01/07/2015
240,1618,5003500,23/07/2015
240,1618,5004406,24/07/2015
240,1618,5004413,30/07/2015
240,1618,5004417,31/07/2015
240,1618,5004423,06/08/2015
240,1618,5004424,06/08/2015
240,1618,5004438,14/08/2015
240,1618,5004448,21/08/2015
470,3136,5008985,26/08/2015
240,1618,5004439,27/08/2015
240,1618,5004457,27/08/2015
240,1618,5004465,31/08/2015
240,1618,5004471,01/09/2015
470,3136,5009298,04/09/2015
470,3136,5009348,08/09/2015
470,3136,5009808,24/09/2015
240,1618,5005808,25/09/2015
240,1618,5004500,29/09/2015
240,1618,5005815,02/10/2015
470,3136,5010155,02/10/2015
240,1618,5005821,05/10/2015
240,1618,5005838,15/10/2015
240,1618,5005842,16/10/2015
240,1618,5005865,30/10/2015
240,1618,5005876,30/10/2015
240,1618,5005887,05/11/2015
240,1618,5006901,09/11/2015
240,1618,5006904,13/11/2015
240,1618,5006906,17/11/2015
240,1618,5006907,17/11/2015
240,1618,5006912,19/11/2015
240,1618,5006915,20/11/2015
240,1618,5006923,25/11/2015
470,3136,5012545,26/11/2015
470,3136,5012555,26/11/2015
240,1618,5006929,27/11/2015
240,1618,5006935,03/12/2015
240,3187,5003864,07/12/2015
240,3187,5003868,07/12/2015
470,3136,5013088,08/12/2015
470,3136,5013146,08/12/2015
470,3136,6012539,08/12/2015
240,1618,5006948,10/12/2015
240,1618,5007509,14/12/2015
240,1618,5006940,16/12/2015
240,1618,5006910,17/12/2015
240,1618,5007518,21/12/2015
240,1618,5007746,23/12/2015
240,1618,5007749,23/12/2015
470,3136,5013608,23/12/2015
240,1618,5007755,29/12/2015
240,1618,6000513,08/01/2016
240,1618,6000533,19/01/2016
240,1618,6000545,25/01/2016
240,1618,6000553,28/01/2016
240,1618,6000567,03/02/2016
240,1618,6000571,05/02/2016
240,1618,6000595,17/02/2016
470,3136,6001624,19/02/2016
240,1618,6001415,25/02/2016
240,1618,6001445,25/02/2016
240,1618,6001454,04/03/2016
240,1618,6001459,08/03/2016
240,1618,6001475,08/03/2016
240,1618,6001476,08/03/2016
240,1618,6001479,08/03/2016
240,1618,6001480,10/03/2016
240,1618,7004338,10/03/2016
240,1618,6001487,17/03/2016
240,1618,6001489,17/03/2016
240,1618,6001491,23/03/2016
240,1618,6001492,23/03/2016
240,1618,6001498,29/03/2016
240,1618,6001499,29/03/2016
240,1618,6001513,08/04/2016
240,1618,6001515,12/04/2016
240,1618,6001524,19/04/2016
240,1618,6001527,25/04/2016
240,1618,7004343,25/04/2016
240,1618,6001535,29/04/2016
240,1618,6001538,03/05/2016
240,1618,6001539,05/05/2016
240,1618,7004396,05/05/2016
240,1618,6001541,11/05/2016
240,1618,6001543,16/05/2016
240,1618,6001544,16/05/2016
240,1618,7004330,16/05/2016
240,1618,6001547,19/05/2016
240,1618,7004331,19/05/2016
240,1618,6001549,21/05/2016
240,1618,6001550,21/05/2016
240,1618,6001559,01/06/2016
240,1618,6001561,01/06/2016
240,1618,6001562,01/06/2016
240,1618,7004332,01/06/2016
240,1618,6001565,08/06/2016
240,1618,6001567,08/06/2016
240,1618,6001566,09/06/2016
240,1618,7004333,09/06/2016
240,1618,6001573,16/06/2016
240,1618,6001574,16/06/2016
240,1618,6001576,20/06/2016
240,3126,6001014,29/06/2016
240,3126,6001015,29/06/2016
240,3126,6001016,30/06/2016
240,3126,6001019,30/06/2016
240,3126,6001023,01/07/2016
240,3126,6001032,01/07/2016
240,3126,6001081,08/07/2016
240,3126,6001092,11/07/2016
240,3126,6001155,21/07/2016
240,3126,6001152,22/07/2016
240,3126,6001214,26/07/2016
470,3136,6007428,28/07/2016
240,3126,6001275,01/08/2016
470,3136,6007695,03/08/2016
470,3136,6007781,03/08/2016
640,3126,6002506,03/08/2016
240,3126,6001306,04/08/2016
240,3126,6001340,09/08/2016
240,3126,6001352,12/08/2016
240,3126,6001368,12/08/2016
240,3126,6001402,12/08/2016
470,3136,6008166,16/08/2016
240,3126,6001408,17/08/2016
240,3126,6001410,18/08/2016
240,3126,6001413,18/08/2016
240,3126,6001458,25/08/2016
240,3126,6001459,25/08/2016
240,3126,6001464,25/08/2016
240,3126,6001469,26/08/2016
240,3126,6001504,01/09/2016
240,3126,6001507,01/09/2016
240,3126,6001522,02/09/2016
640,3126,6002836,06/09/2016
240,3126,6001534,07/09/2016
240,3126,6001607,22/09/2016
240,3126,6001620,22/09/2016
640,3126,6002968,26/09/2016
240,3126,6001701,04/10/2016
240,3126,6001702,04/10/2016
640,3126,6003966,05/10/2016
240,3126,6001616,11/10/2016
240,3126,6001889,13/10/2016
240,3126,6002195,14/10/2016
240,3126,6002196,14/10/2016
240,3126,6003534,14/11/2016
470,3136,6011325,15/11/2016
240,3126,6003615,23/11/2016
240,3126,6003642,30/11/2016
470,3136,6011990,30/11/2016
240,3126,6003666,01/12/2016
240,3126,6003675,02/12/2016
640,3126,6005653,13/12/2016
240,3126,6003730,15/12/2016
240,3126,6003731,15/12/2016
240,3126,6003732,15/12/2016
240,3126,6003749,22/12/2016
240,3126,6003778,26/12/2016
470,3187,6001728,29/12/2016
640,3126,6005842,29/12/2016
240,3126,7000024,06/01/2017
240,3126,7000084,18/01/2017
240,3126,7000088,18/01/2017
640,3126,7000349,20/01/2017
240,1618,7000656,27/01/2017
240,1618,7000658,27/01/2017
470,3187,7000116,27/01/2017
470,3187,7000118,27/01/2017
470,3187,7000375,27/01/2017
240,1618,7000659,30/01/2017
240,1618,7000660,30/01/2017
470,3187,7000121,30/01/2017
470,3187,7000137,01/02/2017
470,3187,7000488,01/02/2017
470,3187,7000126,02/02/2017
470,3187,7000617,02/02/2017
240,1618,7000674,07/02/2017
470,3187,7000155,07/02/2017
470,3187,7000166,08/02/2017
240,1618,7000683,10/02/2017
240,1618,7000681,14/02/2017
240,1618,7000664,24/02/2017
470,3458,7000086,27/02/2017
240,1618,7001758,02/03/2017
640,3126,7001018,03/03/2017
240,3126,7000318,09/03/2017
240,3126,7000327,10/03/2017
470,3458,7000129,16/03/2017
240,3126,7000361,17/03/2017
240,3126,7000362,17/03/2017
240,3126,7000364,17/03/2017
640,3126,7001278,23/03/2017
240,3126,7000387,24/03/2017
470,3458,7000154,28/03/2017
640,3126,7001364,03/04/2017
240,3126,7000437,04/04/2017
240,3126,7000438,06/04/2017
240,3126,7000467,12/04/2017
240,3126,7000492,12/04/2017
470,3458,7000189,18/04/2017
240,1618,7002706,20/04/2017
240,1618,7002707,20/04/2017
240,1618,7002708,20/04/2017
240,1618,7002739,20/04/2017
240,1618,7002720,21/04/2017
240,1618,7002741,02/05/2017
240,1618,7002742,02/05/2017
240,1618,7002743,02/05/2017
240,1618,7002744,02/05/2017
240,1618,7004956,02/05/2017
240,1618,7003920,03/05/2017
470,3458,7000196,03/05/2017
470,3458,7000197,03/05/2017
240,1618,7003930,05/05/2017
240,1618,7003931,05/05/2017
240,1618,7003932,05/05/2017
640,3458,7000025,08/05/2017
640,3458,7000026,08/05/2017
240,1618,7003999,16/05/2017
470,3458,7000214,19/05/2017
470,3458,7000219,23/05/2017
240,1618,7004305,24/05/2017
240,1618,7004309,24/05/2017
240,1618,7004325,24/05/2017
640,3458,7000066,25/05/2017
640,3458,7000071,29/05/2017
240,1618,7004336,01/06/2017
640,3458,7000070,02/06/2017
640,3458,7000086,05/06/2017
640,3458,7000088,06/06/2017
240,1618,7004400,09/06/2017
240,1618,7004947,09/06/2017
240,1618,7004948,09/06/2017
470,3458,7000261,12/06/2017
240,1618,7004953,16/06/2017
240,1618,7004957,16/06/2017
240,1618,7004958,16/06/2017
240,1618,7004959,16/06/2017
240,1618,7004969,23/06/2017
640,3458,7000116,23/06/2017
640,3458,7000121,28/06/2017
470,3458,7000332,29/06/2017
240,1618,7004972,30/06/2017
240,1618,7004977,30/06/2017
240,1618,7004979,30/06/2017
240,1618,7004985,30/06/2017
240,1618,7004997,30/06/2017
240,1618,7004987,03/07/2017
470,3458,7000331,03/07/2017
470,3458,7000535,03/07/2017
640,3458,7000125,03/07/2017
240,1618,7004996,06/07/2017
240,1618,7005998,06/07/2017
240,1618,7005905,07/07/2017
240,1618,7005906,07/07/2017
240,1618,7005907,07/07/2017
640,3458,7000138,10/07/2017
640,3458,7000139,10/07/2017
640,3458,7000146,13/07/2017
640,3458,7000149,14/07/2017
470,3458,7000441,17/07/2017
240,1618,7004978,18/07/2017
240,1618,7005917,18/07/2017
240,1618,7005923,18/07/2017
240,1618,7005924,18/07/2017
240,1618,7005925,18/07/2017
240,1618,7005934,18/07/2017
470,3458,7000451,21/07/2017
470,3458,7000456,21/07/2017
640,3458,7000163,24/07/2017
240,1618,7005988,26/07/2017
240,1618,7006036,31/07/2017
640,3458,7000203,02/08/2017
240,1618,7006031,04/08/2017
240,1618,7006032,04/08/2017
240,1618,7006043,04/08/2017
240,1618,7006046,04/08/2017
240,1618,7006035,07/08/2017
240,1618,7006056,08/08/2017
240,1618,7006057,10/08/2017
240,1618,7006058,10/08/2017
240,1618,7006066,10/08/2017
240,1618,7006070,14/08/2017
240,1618,7006073,14/08/2017
470,3458,7000618,15/08/2017
470,3458,7000635,15/08/2017
240,1618,7006071,17/08/2017
240,1618,7006074,17/08/2017
240,1618,7006077,17/08/2017
240,1618,7006084,17/08/2017
240,1618,7006085,17/08/2017
240,1618,7006086,17/08/2017
470,3458,7000638,18/08/2017
470,3458,7000636,21/08/2017
640,3458,7000244,22/08/2017
240,1618,7006089,23/08/2017
240,1618,7006092,23/08/2017
240,1618,7006093,23/08/2017
640,3458,7000245,23/08/2017
640,3458,7000255,28/08/2017
240,1618,7003935,29/08/2017
240,1618,7003936,29/08/2017
240,1618,7003938,30/08/2017
240,1618,7003997,30/08/2017
240,1618,7004342,30/08/2017
640,3458,7000261,30/08/2017
